id,nombre,direccion,pais,telefono,calificacion
0,Vance Ltd,"5242 Jimmy Causeway Apt. 112
Lake Rachael, KS 28725",Brunei Darussalam,+1-690-446-3696x06033,2
1,Ross Ltd,"2902 Morgan Landing Suite 133
West Michelleburgh, AS 89623",United States of America,+1-772-898-1019x1508,5
2,Stone PLC,"9177 Janet Plaza
Debbiemouth, UT 58473",Trinidad and Tobago,288-813-7682x6669,5
3,"Davis, Howard and Brown","5231 Murphy Knolls
Tonyshire, OK 73338",Wallis and Futuna,+1-416-429-1680x06290,3
4,Deleon-Blake,"PSC 8982, Box 8962
APO AE 11614",Saint Vincent and the Grenadines,511.546.6907,3
5,"Williams, Garza and Black","114 Jennifer Burgs Suite 335
South Tracyport, GU 08582",Libyan Arab Jamahiriya,001-947-586-1210x2811,1
6,"Wilson, Keith and Galloway","647 Robert Creek Suite 041
Lake Joshua, MO 64731",Korea,001-499-503-7878x527,3
7,"Mcclure, Barton and Pearson","94557 Tyler Summit Suite 629
West Josephport, IN 49901",Cook Islands,001-702-689-3511x80406,5
8,"Thomas, Campos and Blake","0743 Evans Springs
North Maria, PA 66242",French Polynesia,001-736-940-1553x80333,4
9,Ramirez-Smith,"53051 Long Brooks Apt. 267
East Anthony, CO 83331",Guam,329.751.2284,4
10,Alvarez Ltd,"34018 Joseph Circles
South Sandy, ND 02314",Zimbabwe,(468)680-7355,5
11,"Lopez, Greene and Trujillo","4119 Brown Course
Paulshire, CT 20817",Somalia,6734286348,5
12,Solis LLC,"89581 Smith Meadows Suite 812
East Mary, SC 03494",Guyana,001-921-723-1942x2541,3
13,Doyle-Dennis,"09446 Martinez Grove
Lake Valeriehaven, NV 55967",Brunei Darussalam,643-861-1264x55205,1
14,Gray Ltd,"84819 Savage Row Apt. 648
Fergusonborough, IA 49691",Iraq,548.856.1268,1
15,Thompson-Thomas,"768 Lowe Flat Suite 066
Johnside, PA 83204",Georgia,001-930-601-3533,1
16,Arnold-Frye,"7110 Arias Forge
Rodneyfurt, DC 90019",Palau,(551)818-1655x99787,4
17,Harris-Lucas,"454 Melissa View
West Michael, CA 41490",Barbados,960-509-8511x5494,2
18,"Freeman, Brown and Huang","084 Jodi Pine Apt. 839
South Mark, HI 04348",French Southern Territories,001-710-293-7650x8330,5
19,Sharp Group,"621 Clark Trail
Port Wesley, MA 73653",Benin,(777)595-6088x48957,2
20,"Weaver, Walker and Garrett","99143 Snyder Stream
East Sophia, NE 46129",Slovenia,+1-294-576-6881x6358,2
21,"Rojas, Franklin and Morales","5884 Cochran Views Apt. 077
North Amyfort, CO 57079",Indonesia,(380)997-6653x1920,4
22,Byrd Ltd,"469 Alvarez Hollow
Nicolemouth, HI 39341",Saint Kitts and Nevis,+1-510-754-4058x37696,2
23,Zavala-Patrick,"389 Matthew Road Apt. 746
West Angela, KY 42701",Vietnam,7895678366,2
24,Kirby LLC,"3559 Cantu Valley
Samanthaside, SC 03372",Western Sahara,210.910.3267x301,5
25,"Macdonald, Gutierrez and Reyes","195 Jason Crest Apt. 536
Robertborough, NJ 95855",Sri Lanka,(925)384-7009,3
26,Lucas-White,"3407 Maria Island Apt. 693
North Lawrence, UT 90610",Costa Rica,001-357-420-5595x05105,3
27,Evans-Allen,"783 Roberto Street
Anachester, IA 49774",Macao,+1-541-779-8178,5
28,"Alvarado, Ibarra and Rojas","72041 Haynes Lake
Vasquezfurt, RI 42649",Pitcairn Islands,605-969-2668,4
29,Dickson LLC,"63809 Watson Circle
Port Michelemouth, SD 72112",Azerbaijan,+1-792-705-2425x220,3
30,Brown Inc,"0458 Michelle Trail Suite 315
New Cassandra, PW 16874",Bouvet Island (Bouvetoya),(564)411-3503,4
31,Woods-Jones,"5987 Green Highway Suite 268
Victorhaven, MA 65841",Ireland,593.886.1662,4
32,Wheeler and Sons,"4673 Simpson Tunnel Suite 795
Lake Rebeccamouth, MD 10965",Malawi,620.764.8028x21559,2
33,Kramer Inc,"5402 Cooper Walk Suite 226
Roberttown, MO 73987",Maldives,+1-806-806-7708x23331,3
34,Woods-Soto,"176 Amanda Wells
West Christopherville, TN 94343",Namibia,550.942.1362,5
35,Rodriguez LLC,"194 Mendoza Mountains Apt. 414
Port Vicki, AZ 07780",Armenia,+1-660-953-4861,1
36,Mcdonald Ltd,"422 Howell Road
North Lisaside, PW 99913",Korea,+1-823-808-5023x29547,1
37,Williams LLC,"78123 Collins Branch Suite 287
Hernandeztown, MT 93190",Guinea,+1-376-313-1594x4084,3
38,Poole Inc,"564 Mitchell Lake Apt. 683
Craigfurt, GU 27616",Lebanon,001-283-928-1023,4
39,Cooley PLC,"074 Renee Point
Ethanshire, VI 92175",Isle of Man,6168825248,1
40,Johnson-George,"461 Kelly Oval
Port Anthony, MH 21068",Nauru,597-736-9808,4
41,Jones-Hall,"Unit 0047 Box 9097
DPO AA 27235",Monaco,001-934-725-8431x52839,1
